doi,doi_agency_id,doi_agency_label
10.1691/ph.2016.5706,medra,mEDRA
10.1016/j.fltote.2015.12.022,NA,NA
10.1016/j.ecoleng.2016.01.0370,NA,NA
10.1691/ph.2016.5808,medra,mEDRA
10.3389/fnce1.2015.00006,NA,NA
10.1364/oe.24.00605,NA,NA
10.4455/eu.2016.012,medra,mEDRA
10.2147/ppa.d66778,NA,NA
10.7554/elife.07641.001,crossref,Crossref
10.1182/blood-2015-06651380,NA,NA
10.1515/anglia-2015-0011,NA,NA
10.12759/hsr.40.2015.1.239-264,datacite,DataCite
10.3290/j.ohpd.a35612,medra,mEDRA
10.3238/arzteb1.2016.0195,NA,NA
10.2376/0005-9366-128-177,medra,mEDRA
10.2377/0023-2076-60-22,medra,mEDRA
10.2376/0005-9366-129-132,medra,mEDRA
10.2376/0005-9366-129-160,medra,mEDRA
10.1127/zfg_suppl/2015/3-00185,NA,NA
10.5073/jabfq.2015.088.001,datacite,DataCite
10.5277/abb-00056-2014-03,datacite,DataCite
10.1016/j.scitotenv2014.10.080,NA,NA
10.2143/ac.70.4.3094652,medra,mEDRA
10.1007/s00120-015-3897-x,NA,NA
10.2377/0023-2076-61-185,medra,mEDRA
10.3389/fnce1.2015.00054,NA,NA
10.2143/ac.70.1.3064589,medra,mEDRA
10.2376/0005-9366-128-111,medra,mEDRA
10.1691/ph.2016.5747,medra,mEDRA
10.1002/zaae.201400564,NA,NA
10.1051/0004-6361/2014425402,NA,NA
10.1016/j.freeradbromed.2016.02.030,NA,NA
10.1016/j.band1.2015.04.003,NA,NA
10.2376/0005-9366-128-155,medra,mEDRA
10.3847/004-6256/151/5/117,NA,NA
10.1016/j.actpsy.2015.04005,NA,NA
10.3847/004-6256/151/5/125,NA,NA
10.2376/0005-9366-128-278,medra,mEDRA
10.2376/0005-9366-129-15079,medra,mEDRA
"10.5675/hywa_2016,2_3",NA,NA
10.2376/0005-9366-129-15044,medra,mEDRA
10.3847/004-6256/151/5/118,NA,NA
10.5589/fmicb.2016.00679,NA,NA
"10.5675/hywa_2016,2_1",NA,NA
10.1016/j.nima.201.5.08.07.5,NA,NA
10.3382/finicb.2016.00648,NA,NA
10.1016/j.nima.2015.14.027,NA,NA
10.1691/ph.2016.5122,medra,mEDRA
10.2527/jas2015-9942,NA,NA
"10.5675/hywa_2016,2_2",NA,NA
10.2527/jas2015-9690,NA,NA
10.1399/eps.2016.128,medra,mEDRA
10.1399/eps.2016.125,medra,mEDRA
10.4455/eu.2016.019,medra,mEDRA
10.1016/j.nima.2015.011.091,NA,NA
10.3964/j.issn.1000-0593(2016)04-1150-08,NA,NA
10.1016/j.electacta.2016.03.0124,NA,NA
10.1016/j.redox.2014.12.01.3,NA,NA
10.1080/13504851.2015.1037430,NA,NA
10.12759/hsr.suppl.27.2015.7-26,datacite,DataCite
10.4312/mz.51.1.57-67,NA,NA
10.1016/j.apacous.2015.04.014,NA,NA
10.3389/fnbeh.7015.00188,NA,NA
10.1002/asna.201512201,NA,NA
10.1159/000444609,crossref,Crossref
10.1515/iber-2016-0004,NA,NA
10.2143/ac.70.4.3096893,medra,mEDRA
10.2376/0005-9366-129-15061,NA,NA
10.1159/000442594,crossref,Crossref
10.1159/000441885,crossref,Crossref
10.4401/ag-4574,medra,mEDRA
10.2376/0005-9366-129-15107,medra,mEDRA
10.1159/0004.15550,NA,NA
10.1021/acs.macromol.5601020,NA,NA
10.2376/0005-9366-129-15060,medra,mEDRA
10.14670/hh-11-712,medra,mEDRA
10.14670/hh-11-746,medra,mEDRA
10.1134/81029959916020077,NA,NA
10.2527/jas2015-0124,NA,NA
10.3339/fnhum.2016.00227,NA,NA
10.3290/j.qi.a34077,medra,mEDRA
10.7334/psicothema2015.267,medra,mEDRA
10.1399/eps.2016.133,medra,mEDRA
10.1515/anglia-2015-0040,NA,NA
10.3389/fncel.2075.00366,NA,NA
10.4455/eu.2016.022,medra,mEDRA
10.1159/000442073,crossref,Crossref
10.1016/j.allcom.2016.04.014,NA,NA
10.2143/etl.92.1.3144372,medra,mEDRA
10.3389/fncom.2010.00051,NA,NA
10.1002/see.56,NA,NA
10.1115/140321631,NA,NA
10.2143/etl.92.1.3144371,medra,mEDRA
10.4455/eu.2016.025,medra,mEDRA
10.1691/ph.2015.5579,medra,mEDRA
10.1159/000441882,crossref,Crossref
10.1134/81029959916020107,NA,NA
10.3233/ch-151987,NA,NA
"10.5675/hywa_2016,3_3",NA,NA
10.5281/zenodo.44773,datacite,DataCite
10.3220/lbf1458735160000,medra,mEDRA
10.5325/style.46.3-4.439,NA,NA
10.1515/anglia-2015-0056,NA,NA
10.1016/j.den.2015.09.004,NA,NA
10.3220/lbf1456905354000,medra,mEDRA
10.3897/zookeys.520.5995,NA,NA
10.5325/style.46.2.229,NA,NA
10.5073/jabfq.2015.088.025,datacite,DataCite
10.14670/hh-11-723,medra,mEDRA
10.3290/j.qi.a35625,medra,mEDRA
10.3339/fncom.2015.00137,NA,NA
10.2376/0005-9366-128-402,medra,mEDRA
10.1016/j.psychires.2015.08.014,NA,NA
10.3220/lbf1439881037000,medra,mEDRA
"10.5675/hywa_2015,5_2",NA,NA
10.5073/jabfq.2016.089.008,datacite,DataCite
10.2376/0003-925x-64-4,medra,mEDRA
10.5325/style.46.3-4.355,NA,NA
10.3290/j.qi.a35132,medra,mEDRA
10.1021/jacs.5607806,NA,NA
10.3389/fnce1.7015.00379,NA,NA
10.5325/style.46.2.201,NA,NA
10.3220/lbf1457686750000,medra,mEDRA
"10.5675/hywa_2016,3_1",NA,NA
10.1016/j.advwatres.2015.0s.008,NA,NA
10.1016/j.ip1.2016.04.008,NA,NA
10.1016/jstrueco.2016.04.003,NA,NA
10.1021/acs.jpcc.6601956,NA,NA
10.2376/0005-9366-128-464,medra,mEDRA
10.2376/0003-925x-64-xxx,NA,NA
10.1182/blood-2015-11684183,NA,NA
10.4416/jcst2016-00006,medra,mEDRA
10.1182/blood-2015-07659938,NA,NA
10.4416/jcst2016-00004,medra,mEDRA
10.2340/00015555-2452,NA,NA
10.2376/0003-925x-64-15,medra,mEDRA
10.3233/ch-152007,NA,NA
10.4416/jcst2016-00024,medra,mEDRA
10.2376/0005-9366-15047,medra,mEDRA
10.1002/biof.1274,NA,NA
10.4435/bspi.2016.04,medra,mEDRA
10.6119/jmst-015-1007-4,airiti,Airiti
10.4455/eu.2016.028,medra,mEDRA
10.1515/agph-2016-0006,NA,NA
10.1016/j.nima.2014.1.2.073,NA,NA
10.3934/dcdss.2015.8.6196,NA,NA
10.2377/0023-2076-61-325,medra,mEDRA
10.3290/j.jad.a36136,medra,mEDRA
10.2376/0005-9366-15088,medra,mEDRA
10.1016/j.nima.2015.1.2.065,NA,NA
10.1088/1475-7512/2017/01/033,NA,NA
10.23736/s0021-9509.17.10261-2,medra,mEDRA
10.12759/hsr.43.2018.1.234-258,datacite,DataCite
10.1016/j.jmmm.2014.10.000,NA,NA
10.2143/mus.129.1.3154605,medra,mEDRA
10.1010/j.jmmm.2014.10.116,NA,NA
10.1174/0919867314666170830111343,NA,NA
10.1364/ol.43.001658,crossref,Crossref
10.6165/tai.2017.62.315,airiti,Airiti
10.4416/jcst2017-00054,medra,mEDRA
"10.1016/j.jocn.2018,01.055",NA,NA
10.23736/s0375-9393.18.12714-3,medra,mEDRA
10.12854/erde-149-56,medra,mEDRA
10.2451/2018pm741,medra,mEDRA
10.2376/0003-925x-61-139,medra,mEDRA
10.4416/jcst2017-00046,medra,mEDRA
10.1016/j.ichromb.2018.03.027,NA,NA
10.3339/fnbeh.2015.00340,NA,NA
10.19225/180308,medra,mEDRA
10.4416/jcst2017-00049,medra,mEDRA
10.12854/erde-149-55,medra,mEDRA
10.1016/j.ecomodel.2018.01.021,NA,NA
10.12854/erde-149-54,medra,mEDRA
10.1018/j.jcrs.2017.11.009,NA,NA
10.1016/j.did.2016.08.112,NA,NA
10.4416/jcst2017-00077,medra,mEDRA
10.1097/bcr.0000000000000609,NA,NA
10.12989/eas.2018.14.4.285,kisti,KISTI
10.1021/acscatal.7b0128,NA,NA
10.2143/rtl.49.1.3278573,medra,mEDRA
10.4193/rhino14.266,NA,NA
10.4416/jcst2017-00056,medra,mEDRA
10.5754/hge13565,NA,NA
10.19225/180306,medra,mEDRA
10.2217/fon-2017-0137,NA,NA
10.2376/0005-9366-124-329,medra,mEDRA
10.12759/hsr.42.2017.3.245-274,datacite,DataCite
10.19224/ai2018.122,medra,mEDRA
10.1016/j.cbpc2016.06.003,NA,NA
10.3233/ben-2010-0277,medra,mEDRA
10.1016/j.atmosenv.2018.03.0l4,NA,NA
10.3978/j.issn.2304-3881.2015.10.04,istic,ISTIC
10.23749/mdl.v109i2.5865,medra,mEDRA
10.19225/180303,medra,mEDRA
10.19225/180301,medra,mEDRA
10.14639/0392-100x-1600,medra,mEDRA
10.3103/s1068362318020036,NA,NA
10.1097/m0u.0000000000000486,NA,NA
10.1097/m0u.0000000000000461,NA,NA
10.3934/deds.2016063,NA,NA
10.1016/lecolecon.2018.02.013,NA,NA
10.3380/fpsyg.2018.00018,NA,NA
10.5073/vitis.2018.57.17-25,datacite,DataCite
10.11646/phytotaxa.348.1.3,NA,NA
10.1186/1468-6708-14-112,NA,NA
"10.1016/j.anucene.2018,02.021",NA,NA
10.1055/5-0043-113713,NA,NA
10.5073/vitis.2018.57.27-34,datacite,DataCite
10.1016/j.jbi.2016.2011,NA,NA
10.1038/541590-018-0092-4,NA,NA
10.1515/hsz-2018.0154,NA,NA
10.1016/j.autrev2017.11.025,NA,NA
10.3389/fped.2078.00706,NA,NA
10.1016/j.jalgebra..2018.02.029,NA,NA
10.3389/tnins.2018.00280,NA,NA
10.23736/s0022-4707.17.07097-9,medra,mEDRA
10.23736/s0022-4707.16.06537-3,medra,mEDRA
10.2450/2017.0265-16,medra,mEDRA
10.1063/1.5019876,NA,NA
10.2450/2017.0258-16,medra,mEDRA
10.12892/ejgo4135.2018,medra,mEDRA
10.12963/aphyspola.133.1069,NA,NA
10.23736/s0022-4707.16.06413-6,medra,mEDRA
10.23736/s0022-4707.17.07020-7,medra,mEDRA
10.1691/ph.2017.6133,medra,mEDRA
10.3233/thc-2012-0679,medra,mEDRA
10.3220/lbf1520430403000,medra,mEDRA
10.1093/molbey/msy027,NA,NA
10.3220/lbf1512114926000,medra,mEDRA
10.24425/118160,datacite,DataCite
10.l186/s40168-018-0460-1,NA,NA
10.10164/j.matchar.2018.03.011,NA,NA
10.1399/eps.2015.76,medra,mEDRA
10.24425/118925,datacite,DataCite
10.2807/1560.7917.es.2018.23.17.17-00468,NA,NA
10.1261/rna.061119,NA,NA
10.19191/ep18.1.ad01.102,medra,mEDRA
10.5772/61313.1,NA,NA
10.1922/cdh_4145qadri07,medra,mEDRA
10.1016/j.iprsjprs.2016.09.013,NA,NA
10.6122/cjp.20150601d,airiti,Airiti
10.1097/01.mpg.0000421402.57633.46,NA,NA
10.1055/s-003-1555863,NA,NA
10.1002/eqe.3092,NA,NA
10.12759/hsr.42.2017.1.320-346,datacite,DataCite
10.4244/eijv919a177,NA,NA
10.1021/acs.iecr.8600678,NA,NA
10.24200/sci.2017.4596,NA,NA
10.1021/acs.jpcc.8b10186,NA,NA
10.1015/j.ejvs.2018.03.025,NA,NA
10.23736/s0022-4707.16.06416-1,medra,mEDRA
10.19191/ep17.1.p029.009,medra,mEDRA
10.1242/bio.0314350,NA,NA
10.16910/jemr.9.5.3,datacite,DataCite
10.10165/j.eswa.2017.04.041,NA,NA
10.3978/j.issn.2072-1439.2014.08.38,istic,ISTIC
10.16476/j.pibb.2018.0040,cnki,CNKI
10.1063/15047842,NA,NA
10.3389/fnce1.2014.00226,NA,NA
10.3389/fphys.2078.00070,NA,NA
10.1016/j.cub.7018.06.014,NA,NA
10.4193/rhino13.098,NA,NA
10.1371/joumal.pone.0196672,NA,NA
10.2143/bib.99.1.3284711,medra,mEDRA
10.1075/gest.10.2.-3.07gri,NA,NA
10.3389/fnins.7016.00023,NA,NA
10.1148/radiol.2018171568,NA,NA
10.7764/rcia.v45il.1793,NA,NA
10.1021/acs.ietr.8b00261,NA,NA
10.24875/aidsrev.m18000018,NA,NA
10.24425/119101,datacite,DataCite
10.1080/15592324.2015.1057367,NA,NA
10.1100/physrevc.97.054611,NA,NA
10.1103/physrelet.120.198102,NA,NA
10.1017/s742758417000339,NA,NA
10.1016/ympev.2017.11.021,NA,NA
10.1103/physread.97.125001,NA,NA
10.3290/j.ohpd.a38735,medra,mEDRA
10.1038/mt.2016.743,NA,NA
10.1103/physread.97.124002,NA,NA
10.19272/201804101010,medra,mEDRA
10.12989/sem.2018.67.6.643,kisti,KISTI
10.1159/000442328,crossref,Crossref
10.2377/0023-2076-60-542,medra,mEDRA
10.3389/fpsyg.2076.01282,NA,NA
10.4134/bkms.b170955,kisti,KISTI
10.1002/mrc.4757,crossref,Crossref
10.3290/j.qi.a37689,medra,mEDRA
10.1186/1468-6708-14-110,NA,NA
10.1021/acsj.ced.8b00163,NA,NA
10.3389/fneur.2018.00615,crossref,Crossref
10.2376/0005-9366-17101,medra,mEDRA
10.1590/0102-33062017abb0186,NA,NA
10.2376/0005-9366-17108,medra,mEDRA
10.2376/0005-9366-17102,medra,mEDRA
10.3109/14017431.2015.1076936,NA,NA
10.2376/0005-9366-17100,medra,mEDRA
10.23736/s0390-5616.16.03547-x,medra,mEDRA
10.2376/0005-9366-124-282,medra,mEDRA
10.1117/1.oe.57.084014,NA,NA
10.1016/j.ifs.2016.11.003,NA,NA
10.2143/bib.99.2.3284922,medra,mEDRA
10.7554/elife.37927.001,crossref,Crossref
10.3389/fneur.2018.0079,NA,NA
10.23736/s0021-9509.18.10597-0,medra,mEDRA
10.23736/s0026-4725.17.04573-x,medra,mEDRA
10.3389/fmicb.2018.02063,crossref,Crossref
10.3290/j.qi.a40764,medra,mEDRA
10.3389/frricb.2015.00275,NA,NA
10.2376/0005-9366-124-94,medra,mEDRA
10.1186/750-11728-160,NA,NA
10.23736/s0022-4707.16.06539-7,medra,mEDRA
10.2376/0005-9366-123-265,medra,mEDRA
10.2376/0005-9366-124-485,medra,mEDRA
10.1038/s41389-018-0082,NA,NA
10.1111/maps.13113,crossref,Crossref
10.1021/acs.nanolett.eb02104,NA,NA
10.2377/0023-2076-63-475,medra,mEDRA
10.3290/j.qi.a34455,medra,mEDRA
10.1097/hrp.0b013e3182937116,NA,NA
10.19272/201804101020,medra,mEDRA
10.17179/excli2016-794,datacite,DataCite
10.7717/peed.4622,NA,NA
10.2376/0003-925x-69-108,NA,NA
10.1088/mnras/sty1193,NA,NA
10.3945/an.114007575,NA,NA
10.1002/hasr.871,NA,NA
10.14670/hh-11-624,medra,mEDRA
10.1080/15412555.2018.1441213,NA,NA
10.1691/ph.2017.6817,medra,mEDRA
10.2527/jas2016-0338,NA,NA
10.1002/1465185.cd005653.pub2,NA,NA
10.1016/j.fc1.2016.09.014,NA,NA
10.1039/c7oh01530e,NA,NA
10.2143/ep.25.2.3284945,medra,mEDRA
10.3109/00365513.2012.681972,NA,NA
10.1080/00268976/2017/1317861,NA,NA
10.23736/s0390-5616.18.04417-x,medra,mEDRA
10.4323/rjlm.2018.120,NA,NA
10.23736/s0390-5616.17.04152-2,medra,mEDRA
10.24425/123914,datacite,DataCite
10.1186/1468-6708-14-99,NA,NA
"10.5675/hywa_2018,5_2",NA,NA
10.23736/s0022-4707.17.07116-x,medra,mEDRA
10.3389/thcir2016.00001,NA,NA
10.23736/s0390-5616.16.03826-1,medra,mEDRA
10.1159/000442075,crossref,Crossref
10.23736/s0390-5616.16.03337-3,medra,mEDRA
10.12892/ejgo3995.2018,medra,mEDRA
10.1688/zfp-2014-01-gregersen,medra,mEDRA
10.2143/lea.243.0.3285132,medra,mEDRA
10.5277/abb-00043-2014-02,datacite,DataCite
10.19272/201801701005,medra,mEDRA
10.1021/acs.jchemed.3b00202,NA,NA
10.23736/s1973-9087.18.05317-0,medra,mEDRA
10.1186/1755-8166-5,NA,NA
10.3389/frilh.7015.00233,NA,NA
10.2376/0005-9366-124-401,medra,mEDRA
10.1417/90494,medra,mEDRA
10.3309/fnmol.2017.00003,NA,NA
10.23736/s0025-7826.18.03211-8,medra,mEDRA
10.2376/0005-9366-124-265,medra,mEDRA
10.1016/j.biortech.2018.07107,NA,NA
10.2376/0005-9366-129-177,medra,mEDRA
10.3978/j.issn.2072-1439.2013.07.09,istic,ISTIC
10.4455/eu.2018.034,medra,mEDRA
10.4416/jcst2018-00013,medra,mEDRA
10.1515/anglia-2014-0029,NA,NA
10.14639/0392-100x-878,medra,mEDRA
10.10164/j.foreco.2017.08.013,NA,NA
10.18869/acadpub.jafm.73.248.28823,NA,NA
10.3847/1538-3881/aad4of,NA,NA
10.3339/fnhum.2016.00341,NA,NA
10.1021/acs.bioconichem.7b00520,NA,NA
10.5137/1019-5149jtn.11808-14.1,NA,NA
10.3940.rina.ijme.2017.a3.351,NA,NA
10.3290/j.qi.a33687,medra,mEDRA
10.5091/plecevo.2018.1432,crossref,Crossref
10.1016/j.iithermalsci.2017.02.016,NA,NA
10.3978/j.issn.2072-1439.2013.04.04,istic,ISTIC
10.1922/idj_2184polzer13,NA,NA
10.3389/fnins.2076.00377,NA,NA
10.21873/anticanres.12338,crossref,Crossref
10.4193/rhino14.164,NA,NA
10.23736/s0026-4733.17.07408-9,medra,mEDRA
10.18869/acadpub.jafm.73.248.27857,NA,NA
10.3980/j.issn.2222-3959.2015.04.17,istic,ISTIC
10.1136/bmjopen-2017-017653,NA,NA
10.1378/chest.11-07-30,NA,NA
10.1021/acs.analchem.5600825,NA,NA
10.2376/0005-9366-17079,medra,mEDRA
10.19224/ai2018.172,medra,mEDRA
10.2377/0023-2076-59-417,medra,mEDRA
10.1293/tox.2016-i002,NA,NA
10.2376/0005-9366-17015,medra,mEDRA
10.2376/0005-9366-17053,medra,mEDRA
10.23736/s0021-9509.18.10269-2,medra,mEDRA
10.2377/0023-2076-58-505,medra,mEDRA
10.1016/j.eps1.2018.03.049,NA,NA
10.2376/0005-9366-17051,medra,mEDRA
10.1016/j.did.2016.07.013,NA,NA
10.1103/pysrevd.97.094004,NA,NA
10.1021/acs.biomac.8600135,NA,NA
10.12759/hsr.42.2017.1.77-102,datacite,DataCite
10.1007/jhepo4(2018)145,NA,NA
10.2376/0005-9366-17016,medra,mEDRA
10.7554/elife.34423.001,crossref,Crossref
10.2376/0005-9366-128-335,medra,mEDRA
10.1021/acscatal.7604072,NA,NA
10.1172/jc197650,NA,NA
10.19224/ai2018.186,medra,mEDRA
10.1007/s11207-018-1297-2,NA,NA
10.1109/tvcg.2016.251335,NA,NA
10.4455/eu.2015.038,medra,mEDRA
10.4134/jkms.j170042,kisti,KISTI
10.4455/eu.2012.985,medra,mEDRA
10.1021/acs.energyfuels.8601405,NA,NA
10.1691/ph.2018.7946,NA,NA
10.2376/0005-9366-123-42,medra,mEDRA
10.1016/j.ultrasmedbio.28.06.002,NA,NA
10.1369/j.2010.955377,NA,NA
10.3290/j.jad.a18393,medra,mEDRA
10.1055/s-0038-1654721,NA,NA
10.12854/erde-2018-383,medra,mEDRA
10.12854/erde-2018-374,medra,mEDRA
10.1210/jc.20130358,NA,NA
10.23736/s0375-9393.17.12136-x,medra,mEDRA
10.12854/erde-2018-373,medra,mEDRA
10.1021/acs.jrnedchem.8b00004,NA,NA
10.12854/erde-2018-349,medra,mEDRA
10.3290/j.qi.a29936,medra,mEDRA
10.23736/s0375-9393.17.12282-0,medra,mEDRA
10.12854/erde-2018-401,medra,mEDRA
10.1691/ph.2018.7785,medra,mEDRA
10.1016/j.jmb.2013:09.027,NA,NA
10.1002/jso.25189,NA,NA
"10.5675/hywa_2018,5_1",NA,NA
"10.1016/j,jclepro.2018.07.290",NA,NA
10.1681/ph.2018.7971,NA,NA
10.6620/zs.2016.55-48,airiti,Airiti
10.4416/jcst2018-00022,medra,mEDRA
10.1097/hrp.0b013e318294f5fd,NA,NA
10.3980/j.issn.2222-3959.2014.04.21,istic,ISTIC
10.1016/j.jinutbio.2015.03.010,NA,NA
10.1128/aem01728-18,NA,NA
10.12854/erde-2018-369,medra,mEDRA
10.1302/18632548.11.160276,NA,NA
10.17221/8401-cjas,NA,NA
10.3233/acp-2011-0044,medra,mEDRA
10.1525/hsns.2012.42.1.030,NA,NA
10.1057/s41265016-0001-y,NA,NA
10.2377/0023-2076-60-297,NA,NA
10.2377/0023-2076-59.145,NA,NA
10.1691/ph.2011.1572,medra,mEDRA
10.2143/basp.55.0.3285012,medra,mEDRA
10.3290/j.jad.a29582,medra,mEDRA
10.3233/dma-2011-0764,medra,mEDRA
10.3389/fmicb.2018.00947,crossref,Crossref
10.1074/mcp.m111.010157-1,NA,NA
10.1093/narlgkw1183,NA,NA
10.2376/0005-9366-128-148,medra,mEDRA
10.4193/rhino11.266,NA,NA
10.1055/s-1545804,NA,NA
10.5754/hge14365,NA,NA
10.3233/dma-2011-0749,medra,mEDRA
10.4193/rhino16.098,NA,NA
10.1038/id.2013.304,NA,NA
10.3413/nukmed-0823-16-4,NA,NA
10.7554/elife.27656.001,crossref,Crossref
10.1691/ph.2013.6529,medra,mEDRA
10.2376/0005-9366-128-507,medra,mEDRA
10.2376/0005-9366-126-476,medra,mEDRA
10.1016/j.ymeth.2015.16.112,NA,NA
10.12989/scs.2018.29.1.125,kisti,KISTI
10.3389/fps8g2015.01889,NA,NA
10.2376/0005-9366-123-278,medra,mEDRA
10.1691/ph.2014.3250,medra,mEDRA
10.7554/elife.39979.001,crossref,Crossref
10.1016/j.nuclphysa.2016.2016.03.052,NA,NA
10.1399/eps.2014.49,medra,mEDRA
10.22038/ijbms.2018.29347.7093,medra,mEDRA
10.1055/s-1315188,NA,NA
10.1051/0004-6361/2018328,NA,NA
10.2376/0005-9366-123-431,medra,mEDRA
10.19224/ai2018.488,medra,mEDRA
10.1016/ibbi.2017.04.018,NA,NA
10.3978/j.issn.2223-4292.2015.03.05,istic,ISTIC
10.1014/j.jad.2014.08.007,NA,NA
10.1691/ph.2015.5601,medra,mEDRA
10.3978/j.issn.2218-676x.2014.01.06,istic,ISTIC
10.1016/s1937-6448(10)85002-6,NA,NA
10.3866/pku.whxb201512041,crossref,Crossref
10.3290/j.qi.a29153,medra,mEDRA
10.12854/erde-2018-343,medra,mEDRA
