domains,opendoar_inst,opendoar_other,opendoar_subject,other_repo
repositorio.hff.min-saude.pt,9,0,0,0
repositorio.upct.es,9,0,0,0
repository.brynmawr.edu,9,0,0,0
ruidera.uclm.es,9,0,0,0
shizuoka.repo.nii.ac.jp,9,0,0,0
winnspace.uwinnipeg.ca,9,0,0,0
bibdigital.epn.edu.ec,8,0,0,0
bth.diva-portal.org,8,0,0,0
datacompass.lshtm.ac.uk,8,0,0,0
dbis.eprints.uni-ulm.de,8,0,0,0
depot.ceon.pl,8,0,0,0
elib.suub.uni-bremen.de,8,0,0,0
eprints.ums.edu.my,8,0,0,0
hal-centralesupelec.archives-ouvertes.fr,8,0,0,0
hkr.diva-portal.org,8,0,0,0
insight.cumbria.ac.uk,8,0,0,0
instmath.rwth-aachen.de,8,0,0,1
lacris.ulapland.fi,8,0,0,0
lbsresearch.london.edu,8,0,0,0
mds.marshall.edu,8,0,0,0
moeseprints.incois.gov.in,8,0,0,0
nectar.northampton.ac.uk,8,0,0,0
nipr.repo.nii.ac.jp,8,0,0,0
publications.polymtl.ca,8,0,0,0
rune.une.edu.au,8,0,0,0
aip.scitation.org,7,0,0,9
atmos-chem-phys.net,7,4,0,67
bach-s59.wu.ac.at,7,0,0,0
buleria.unileon.es,7,0,0,0
degruyter.com,7,0,0,36
edoc.ku-eichstaett.de,7,0,0,0
eprints-bangaloreuniversity.in,7,0,0,0
eprints.soas.ac.uk,7,0,0,0
fedora.phaidra.univie.ac.at,7,0,0,0
gih.diva-portal.org,7,0,0,0
hh.diva-portal.org,7,0,0,0
hzdr.qucosa.de,7,0,0,0
julkari.fi,7,0,0,0
library.naist.jp,7,0,0,0
macsphere.mcmaster.ca,7,0,0,0
pubman.mpdl.mpg.de,7,0,0,1880
pure.bond.edu.au,7,0,0,1
repositorio.hospitaldebraga.pt,7,0,0,0
repositorio.lnec.pt,7,0,0,0
repository.library.northeastern.edu,7,0,0,0
scholarlycommons.pacific.edu,7,0,0,0
scholarworks.smith.edu,7,0,0,0
sh.diva-portal.org,7,0,0,0
tandfonline.com,7,0,1,142
thescholarship.ecu.edu,7,0,0,0
agupubs.onlinelibrary.wiley.com,6,0,0,278
cedar.wwu.edu,6,0,0,0
commons.und.edu,6,0,0,0
ddfv.ufv.es,6,0,0,0
digital.ub.uni-paderborn.de,6,0,0,0
download.hrz.tu-darmstadt.de,6,0,0,0
dspace.onu.edu.ua,6,0,0,0
dspace.univer.kharkov.ua,6,0,0,0
earth-syst-sci-data-discuss.net,6,0,0,1
ecommons.luc.edu,6,0,0,0
eprints.bice.rm.cnr.it,6,0,0,0
epub.oeaw.ac.at,6,0,0,0
hal-imt-atlantique.archives-ouvertes.fr,6,0,0,0
hal.ird.fr,6,0,0,0
is.muni.cz,6,0,0,0
isiarticles.com,6,0,0,1
ktisis.cut.ac.cy,6,0,0,0
library.mpib-berlin.mpg.de,6,0,0,10
marjon.collections.crest.ac.uk,6,0,0,0
methods.sowi.uni-mannheim.de,6,0,0,0
opensiuc.lib.siu.edu,6,0,0,0
pdfs.semanticscholar.org,6,0,0,193416
plantarum.izbis.bg.ac.rs,6,0,0,0
publicatio.nyme.hu,6,0,0,0
publikace.k.utb.cz,6,0,0,0
purehost.bath.ac.uk,6,0,0,459
ray.yorksj.ac.uk,6,0,0,0
repository.icr.ac.uk,6,0,0,0
research.ou.nl,6,0,0,0
research.sabanciuniv.edu,6,0,0,0
researchbank.rmit.edu.au,6,0,0,0
ri.ufs.br,6,0,0,0
rik.mrizp.rs,6,0,0,0
rosdok.uni-rostock.de,6,0,0,0
scholarcommons.sc.edu,6,0,0,0
ubibliorum.ubi.pt,6,0,0,0
unitec.researchbank.ac.nz,6,0,0,0
visawi.uid.com,6,0,0,0
volkernocke.com,6,0,0,0
wesscholar.wesleyan.edu,6,0,0,0
westminsterresearch.westminster.ac.uk,6,0,0,0
amcor.asahikawa-med.ac.jp,5,0,0,0
bibliotecadigital.udea.edu.co,5,0,0,0
darhiv.ffzg.unizg.hr,5,0,0,0
dc.etsu.edu,5,0,0,0
digital.usfsp.edu,5,0,0,0
digitalcommons.butler.edu,5,0,0,0
dk.upce.cz,5,0,0,0
drum.lib.umd.edu,5,0,0,0
dspace.bracu.ac.bd,5,0,0,0
dspace.ut.ee,5,0,0,0
dyuthi.cusat.ac.in,5,0,0,0
ftp.iza.org,5,0,2,715
hal-audencia.archives-ouvertes.fr,5,0,0,0
imsc.res.in,5,0,0,0
kumel.medlib.dsmc.or.kr,5,0,0,0
mouseion.jax.org,5,0,0,0
nar.oxfordjournals.org,5,0,0,88
opendocs.ids.ac.uk,5,0,0,0
pnas.org,5,0,0,277
repositorio.furg.br,5,0,0,0
repositorio.ufc.br,5,0,0,0
repositorio.ufop.br,5,0,0,0
repositorio.ufpa.br,5,0,0,0
repositorioacademico.upc.edu.pe,5,0,0,0
repository.ubaya.ac.id,5,0,0,0
repository.usfca.edu,5,0,0,0
scholarworks.bgsu.edu,5,0,0,0
sihf.brage.unit.no,5,0,0,0
sv.uio.no,5,0,0,0
tweelingenregister.org,5,0,0,3
cadair.aber.ac.uk,4,0,0,0
cebp.aacrjournals.org,4,0,0,108
cl.cam.ac.uk,4,0,0,0
depot.erudit.org,4,0,0,0
digital.cic.gba.gob.ar,4,0,0,0
digitalcommons.ilr.cornell.edu,4,0,0,0
digitalcommons.trinity.edu,4,0,0,0
drs.nio.org,4,0,0,0
dspace.sunyconnect.suny.edu,4,0,0,0
edit.elte.hu,4,0,0,0
encrypto.de,4,0,0,0
eprints.chi.ac.uk,4,0,0,0
eprints.uni-mysore.ac.in,4,0,0,0
era.daf.qld.gov.au,4,0,0,0
escholarship.lib.okayama-u.ac.jp,4,0,0,0
gut.bmj.com,4,0,0,160
hal-mines-albi.archives-ouvertes.fr,4,2,0,2
hal-supelec.archives-ouvertes.fr,4,0,0,0
hal-univ-tours.archives-ouvertes.fr,4,0,0,0
hal.uca.fr,4,2,0,67
hal.univ-nantes.fr,4,0,0,0
heikopaulheim.com,4,0,0,0
hildok.bsz-bw.de,4,0,0,0
igsoc.org,4,0,0,9
intellectum.unisabana.edu.co,4,0,0,0
ir.library.illinoisstate.edu,4,0,0,0
ir.soken.ac.jp,4,0,0,0
iris.luiss.it,4,0,0,0
jbc.org,4,0,0,12
karuspace.karu.ac.ke,4,0,0,0
mospace.umsystem.edu,4,0,0,0
n.uni.lu,4,0,0,6
naturalis.fcnym.unlp.edu.ar,4,0,0,0
ndt.oxfordjournals.org,4,0,0,17
onlinelibrary.wiley.com,4,0,0,629
ourarchive.otago.ac.nz,4,0,0,0
petit.lib.yamaguchi-u.ac.jp,4,0,0,0
phfr.bsz-bw.de,4,0,0,0
prl.aps.org,4,0,0,11
pubs.rsc.org,4,0,0,82
repository.eafit.edu.co,4,0,0,0
repository.uantwerpen.be,4,0,0,0
repository.uin-malang.ac.id,4,0,0,0
repozitorij.ffzg.unizg.hr,4,0,0,0
research-repository.uwa.edu.au,4,0,0,0
research.stmarys.ac.uk,4,0,0,0
researchspace.ukzn.ac.za,4,0,0,0
risc.jku.at,4,0,0,0
scholarworks.rit.edu,4,0,0,0
suaire.sua.ac.tz,4,0,0,0
thorsten-sickenberger.de,4,0,0,0
vc.bridgew.edu,4,0,0,0
viurrspace.ca,4,0,0,0
webdoc.sub.gwdg.de,4,0,0,0
acikerisim.isikun.edu.tr,3,0,0,0
bio.kuleuven.be,3,0,0,3
biogeosciences.net,3,2,0,54
bmcgeriatr.biomedcentral.com,3,0,0,0
cdn.elifesciences.org,3,0,0,3
ciat-library.ciat.cgiar.org,3,0,0,0
clinicalepigeneticsjournal.biomedcentral.com,3,0,0,1
dare.uva.nl,3,0,0,0
digitalcommons.library.umaine.edu,3,0,0,0
dspace.ub.uni-siegen.de,3,0,0,0
e-spacio.uned.es,3,0,0,0
earsiv.kmu.edu.tr,3,0,0,0
earsiv.sehir.edu.tr,3,0,0,0
epubs.scu.edu.au,3,0,0,0
erepository.uonbi.ac.ke,3,0,0,0
goescholar.uni-goettingen.de,3,0,0,0
htw-dresden.qucosa.de,3,0,0,0
i2.informatik.rwth-aachen.de,3,0,0,0
iconline.ipleiria.pt,3,0,0,0
ir.uiowa.edu,3,0,0,0
jbr.sagepub.com,3,0,0,4
jneuroengrehab.com,3,0,0,0
journal.pone.0206536.pdf,3,0,0,0
journals.ametsoc.org,3,0,0,77
journals.aps.org,3,0,0,227
journals.plos.org,3,0,0,283
livrepository.liverpool.ac.uk,3,0,0,0
mpil.de,3,0,0,0
norges-bank.brage.unit.no,3,0,0,0
ocean-sci.net,3,0,0,23
opencommons.uconn.edu,3,0,0,0
openprairie.sdstate.edu,3,0,0,0
opus.uleth.ca,3,0,0,0
pediatrics.aappublications.org,3,0,0,3
publications.idiap.ch,3,0,0,1
publik.tuwien.ac.at,3,0,0,0
rdw.rowan.edu,3,0,0,0
repositorio.ual.es,3,0,0,0
ro-journal.com,3,0,0,0
samfunnsforskning.brage.unit.no,3,0,0,0
sas-space.sas.ac.uk,3,0,0,0
scarab.bates.edu,3,0,0,0
scholar.valpo.edu,3,0,0,0
scholarworks.sjsu.edu,3,0,0,0
slub.qucosa.de,3,0,0,0
ssudl.solent.ac.uk,3,0,0,0
thesis.library.caltech.edu,3,0,0,0
u-pad.unimc.it,3,0,0,0
ubir.bolton.ac.uk,3,0,0,0
ynu.repo.nii.ac.jp,3,0,0,0
yorkspace.library.yorku.ca,3,0,0,0
acikerisim.aku.edu.tr,2,0,0,0
acikerisim.pau.edu.tr,2,0,0,0
asgp.pl,2,0,0,0
atmos-chem-phys-discuss.net,2,3,0,31
austriaca.at,2,0,0,0
authors.fhcrc.org,2,0,0,0
behavioralandbrainfunctions.com,2,0,0,0
bradydave.files.wordpress.com,2,0,0,0
brain.oxfordjournals.org,2,0,0,27
canberra.edu.au,2,0,0,0
cloudfront.escholarship.org,2,0,0,1
cos.bibl.th-koeln.de,2,0,0,0
dc.uwm.edu,2,0,0,0
depot-e.uqtr.ca,2,0,0,0
digitalcommons.conncoll.edu,2,0,0,0
digitalcommons.newhaven.edu,2,0,0,0
digitalcommons.wpi.edu,2,0,0,0
dspace.lu.lv,2,0,0,0
dspace.uce.edu.ec,2,0,0,0
dspace.utalca.cl,2,0,0,0
dwds.de,2,0,0,0
e.uni.lu,2,0,0,0
eadnurt.diit.edu.ua,2,0,0,0
epigeneticsandchromatin.com,2,0,0,0
eprints.adm.unipi.it,2,0,0,0
eprints.lib.okayama-u.ac.jp,2,0,0,0
eprints.lmu.edu.ng,2,0,0,0
etheses.dur.ac.uk,2,0,0,0
fneur.2014.00236.pdf,2,0,0,0
geoanalytics.net,2,0,0,0
gla.ac.uk,2,0,0,0
grafar.grf.bg.ac.rs,2,0,0,0
hal-descartes.archives-ouvertes.fr,2,0,0,0
hal-unice.archives-ouvertes.fr,2,0,0,0
hal-univ-diderot.archives-ouvertes.fr,2,0,0,0
hal-univ-pau.archives-ouvertes.fr,2,0,0,0
hal.cirad.fr,2,0,0,0
hal.univ-lille3.fr,2,0,0,0
harvest.usask.ca,2,0,0,0
hbo-kennisbank.nl,2,2,0,0
hij.sagepub.com,2,0,0,0
hiof.brage.unit.no,2,0,0,0
investigo.biblioteca.uvigo.es,2,0,0,0
ir.fmu.ac.jp,2,0,0,0
ir.tdc.ac.jp,2,0,0,0
iris.unife.it,2,0,0,0
iris.unito.it,2,0,0,3843
jaha.ahajournals.org,2,0,0,10
liebertonline.com,2,0,0,0
lpi.usra.edu,2,0,0,0
memoria.fahce.unlp.edu.ar,2,0,0,0
mitpressjournals.org,2,0,0,8
muroran-it.repo.nii.ac.jp,2,0,0,0
nal-ir.nal.res.in,2,0,0,0
nat-hazards-earth-syst-sci.net,2,0,0,5
nifu.brage.unit.no,2,0,0,0
opus.hs-offenburg.de,2,0,0,0
p-arch.it,2,0,0,0
paduaresearch.cab.unipd.it,2,0,0,0
papers.tinbergen.nl,2,0,0,76
physics.uci.edu,2,0,0,0
physoc.onlinelibrary.wiley.com,2,0,0,3
polen.itu.edu.tr,2,0,0,0
portail.bu.dauphine.fr,2,0,0,0
repositori.uic.es,2,0,0,0
repositorio.bc.ufg.br,2,0,0,0
repositorio.conare.ac.cr,2,0,0,0
repositorio.ipcb.pt,2,0,0,0
repositorio.ulima.edu.pe,2,0,0,0
repository.kpi.kharkov.ua,2,0,0,0
repository.lib.tottori-u.ac.jp,2,0,0,0
repository.tavistockandportman.ac.uk,2,0,0,0
repository.wellesley.edu,2,0,0,0
research.hanze.nl,2,0,0,0
research.tue.nl,2,0,0,0
researchonline.rca.ac.uk,2,0,0,0
researchportal.bath.ac.uk,2,0,0,0
riull.ull.es,2,0,0,0
riuma.uma.es,2,0,0,0
saber.ula.ve,2,0,0,0
scholars.wlu.ca,2,0,0,0
scholarship.law.duke.edu,2,0,0,0
scholarworks.bridgeport.edu,2,0,0,0
scholarworks.waldenu.edu,2,0,0,0
scielo.org.za,2,2,0,0
se-rwth.de,2,0,0,2
sun.library.msstate.edu,2,0,0,0
tesis.pucp.edu.pe,2,0,0,0
the-cryosphere.net,2,0,0,3
thorax.bmj.com,2,0,0,153
toi.brage.unit.no,2,0,0,0
uir.unisa.ac.za,2,0,0,0
urresearch.rochester.edu,2,0,0,0
utrgv-ir.tdl.org,2,0,0,0
wiredspace.wits.ac.za,2,0,0,0
.unine.ch,1,0,0,0
acsjournals.onlinelibrary.wiley.com,1,0,0,1
ann-geophys.net,1,0,0,7
aph-ihpan.edu.pl,1,0,0,0
aquila.usm.edu,1,0,0,0
asa.scitation.org,1,0,0,0
atmos-meas-tech-discuss.net,1,0,0,17
atrium.lib.uoguelph.ca,1,0,0,0
babel.banrepcultural.org,1,0,0,0
bear.buckingham.ac.uk,1,0,0,0
bis.org,1,0,0,15
ceur-ws.org,1,0,0,13
chicagounbound.uchicago.edu,1,0,0,0
cid.oxfordjournals.org,1,0,0,12
circ.ahajournals.org,1,0,0,5
circoutcomes.ahajournals.org,1,0,0,0
commons.lib.niu.edu,1,0,0,0
commons.ln.edu.hk,1,0,0,0
cornerstone.lib.mnsu.edu,1,0,0,0
cs.aau.dk,1,0,0,0
cybertesis.uni.edu.pe,1,0,0,0
dalspace.library.dal.ca,1,0,0,0
dataspace.princeton.edu,1,0,0,0
datenzone.de,1,0,0,0
dice.hhu.de,1,0,0,0
digitalcommons.cedarville.edu,1,0,0,0
digitalcommons.csumb.edu,1,0,0,0
digitalcommons.georgefox.edu,1,0,0,0
digitalcommons.law.yale.edu,1,0,0,0
digitalcommons.library.tmc.edu,1,0,0,0
digitalcommons.rockefeller.edu,1,0,0,0
digitalcommons.unf.edu,1,0,0,0
digitum.um.es,1,0,0,0
diw.de,1,0,0,839
dlibrary.univ-boumerdes.dz,1,0,0,0
dspace-unipr.cineca.it,1,0,0,0
dspace.epoka.edu.al,1,0,0,0
dspace.mah.se,1,0,0,0
ekmair.ukma.edu.ua,1,0,0,0
eldorado.uni-dortmund.de,1,0,0,0
elib.bspu.by,1,0,0,0
eml.berkeley.edu,1,0,0,0
ena.lp.edu.ua,1,0,0,0
ep.liu.se,1,0,0,0
eprints-phd.biblio.unitn.it,1,0,0,0
eprints.gla.ac.uk,1,0,0,16942
eprints.luiss.it,1,0,0,0
eprints.qums.ac.ir,1,0,0,0
eprints.sunway.edu.my,1,0,0,0
eprints.uthm.edu.my,1,0,0,0
eprints.zu.edu.ua,1,0,0,0
esh.diva-portal.org,1,0,0,0
espace2.etsmtl.ca,1,0,0,0
fhs.diva-portal.org,1,0,0,0
fisherpub.sjfc.edu,1,0,0,0
g3journal.org,1,0,0,4
genetics.org,1,0,0,10
geosci-model-dev.net,1,0,0,30
goedoc.uni-goettingen.de,1,0,0,0
hal-emse.ccsd.cnrs.fr,1,0,0,0
hal-univ-paris13.archives-ouvertes.fr,1,0,0,0
helios-eie.ekt.gr,1,0,0,0
hhallberg.com,1,0,0,0
humrep.oxfordjournals.org,1,0,0,0
i6.informatik.rwth-aachen.de,1,0,0,3
ijbnpa.org,1,0,0,0
ink.library.smu.edu.sg,1,0,0,0
ir.giec.ac.cn,1,0,0,0
ir.library.dc-uoit.ca,1,0,0,0
ir.psych.ac.cn,1,0,0,0
ir.vanderbilt.edu,1,0,0,0
ir.znau.edu.ua,1,0,0,0
isez.pan.krakow.pl,1,0,0,3
islandstudies.ca,1,0,0,0
jap.physiology.org,1,0,0,17
jcmr-online.com,1,0,0,0
jimmunol.org,1,0,0,17
journals.physiology.org,1,0,0,17
journals.sagepub.com,1,0,0,18
jxb.oxfordjournals.org,1,0,0,5
kola.opus.hbz-nrw.de,1,0,0,0
lawcat.berkeley.edu,1,0,0,0
libir.josai.ac.jp,1,0,0,0
lithosphere.gsapubs.org,1,0,0,0
logic.rwth-aachen.de,1,0,0,7
mdh.diva-portal.org,1,0,0,0
mdpi.com,1,0,0,1124
miplab.epfl.ch,1,0,0,1
mnras.oxfordjournals.org,1,0,0,63
mruir.mtroyal.ca,1,0,0,0
mzes.uni-mannheim.de,1,0,0,0
nemertes.lis.upatras.gr,1,0,0,0
nwg-goettingen.de,1,0,0,0
nwo-i.nl,1,0,0,0
oacis.repo.nii.ac.jp,1,0,0,0
oferarazy.com,1,0,0,0
open.cmi.no,1,0,0,0
openaccess.mef.edu.tr,1,0,0,0
orb.binghamton.edu,1,0,0,0
parasitesandvectors.biomedcentral.com,1,0,0,3
pensoft.net,1,0,0,0
physik.uni-regensburg.de,1,0,0,0
plantphysiol.org,1,0,0,9
plosone.org,1,0,0,278
poggiolab.unibas.ch,1,0,0,1
publikacio.uni-eszterhazy.hu,1,0,0,0
pureadmin.uhi.ac.uk,1,0,0,0
r-libre.teluq.ca,1,0,0,0
radiology.rsna.org,1,0,0,0
repositorio.iiap.gob.pe,1,0,0,0
repositorio.ingemmet.gob.pe,1,0,0,0
repositorio.ufpe.br,1,0,0,0
repositorio.usil.edu.pe,1,0,0,0
repositorio.utad.pt,1,0,0,0
repository.ajou.ac.kr,1,0,0,0
repository.uchastings.edu,1,0,0,0
repository.udem.edu.co,1,0,0,0
repository.wima.ac.id,1,0,0,0
repozitorij.gfos.hr,1,0,0,0
repozitorij.upr.si,1,0,0,0
repozytorium.amu.edu.pl,1,0,0,0
repozytorium.p.lodz.pl,1,0,0,0
research.upjohn.org,1,0,0,0
ricerca.uniba.it,1,0,0,0
riuni.unisul.br,1,0,0,0
rsc.org,1,0,0,30
ruralis.brage.unit.no,1,0,0,0
savoirs.usherbrooke.ca,1,0,0,0
scholarexchange.furman.edu,1,0,0,0
scholarsarchive.library.albany.edu,1,0,0,0
scholarworks.sfasu.edu,1,0,0,0
scholarworks.uark.edu,1,0,0,0
scholarworks.uni.edu,1,0,0,0
scholarworks.uttyler.edu,1,0,0,0
sci-gems.math.bas.bg,1,0,0,0
sciencedirect.com,1,0,0,0
scioteca.caf.com,1,0,0,0
sjtrem.biomedcentral.com,1,0,0,4
stud.epsilon.slu.se,1,0,0,0
sunsite.informatik.rwth-aachen.de,1,0,0,4
swenurse.se,1,0,0,0
terrapub.co.jp,1,0,0,0
w0.rz-berlin.mpg.de,1,0,0,2
who.int,1,0,0,0
zone.biblio.laurentian.ca,1,0,0,0
osti.gov,0,29520,0,0
pure.mpg.de,0,28977,0,0
comum.rcaap.pt,0,7861,0,0
rug.nl,0,6849,0,0
serval.unil.ch,0,2083,0,0
figshare.com,0,724,0,0
db-thueringen.de,0,560,0,0
osf.io,0,344,344,0
dspace.nbuv.gov.ua,0,182,0,0
hrcak.srce.hr,0,168,0,0
scielo.br,0,98,0,0
recercat.cat,0,79,0,0
alice.cnptia.embrapa.br,0,77,0,0
dialnet.unirioja.es,0,75,0,0
calhoun.nps.edu,0,56,0,0
libres.uncg.edu,0,30,0,0
repositorio.igp.gob.pe,0,22,0,0
rcin.org.pl,0,15,0,0
tel.archives-ouvertes.fr,0,15,0,0
scielo.isciii.es,0,10,0,0
dirros.openscience.si,0,9,0,0
etd.ohiolink.edu,0,8,0,0
ria.asturias.es,0,6,0,0
scholarship.claremont.edu,0,6,0,0
umcg.nl,0,6,0,0
biodiversitylibrary.org,0,5,0,0
raco.cat,0,4,0,0
redalyc.org,0,4,0,0
tdx.cat,0,4,0,0
ndownloader.figshare.com,0,3,0,0
publications.jrc.ec.europa.eu,0,3,0,0
repositorio.essalud.gob.pe,0,3,0,0
arcabc.ca,0,2,0,0
atmos-meas-tech.net,0,2,0,27
diva-portal.org,0,2,0,0
martijnwieling.nl,0,2,0,1
portaldoconhecimento.gov.cv,0,2,0,0
repo.sire.ac.uk,0,2,0,0
scielo.cl,0,2,0,0
archives.lib.state.ma.us,0,1,0,0
internationalphoneticassociation.org,0,1,0,0
invenio.nusl.cz,0,1,0,0
scielo.org.mx,0,1,0,0
techfak.uni-bielefeld.de,0,1,0,6
cds.cern.ch,0,0,24325,0
repository.publisso.de,0,0,5407,0
vliz.be,0,0,1976,0
numdam.org,0,0,219,0
pedocs.de,0,0,193,0
philsci-archive.pitt.edu,0,0,188,0
philpapers.org,0,0,128,0
ageconsearch.umn.edu,0,0,118,0
dlc.dlib.indiana.edu,0,0,111,0
lenus.ie,0,0,80,0
bioline.org.br,0,0,59,0
eprint.iacr.org,0,0,46,0
biorxiv.org,0,0,42,0
dml.cz,0,0,40,0
orgprints.org,0,0,34,0
edoc.vifapol.de,0,0,31,0
dlib.lib.cas.cz,0,0,30,0
dipfdocs.de,0,0,21,10
hcommons.org,0,0,21,0
precedings.nature.com,0,0,19,0
hal-ifp.archives-ouvertes.fr,0,0,18,0
eartharxiv.org,0,0,15,0
cogprints.org,0,0,11,0
ebrary.ifpri.org,0,0,11,0
egms.de,0,0,11,0
eprints.sztaki.hu,0,0,11,0
gruppofrattura.it,0,0,11,0
npl.csircentral.net,0,0,11,0
eprints.rclis.org,0,0,10,0
paleorxiv.org,0,0,7,0
hal-agroparistech.archives-ouvertes.fr,0,0,6,0
biostats.bepress.com,0,0,4,0
psydok.psycharchives.de,0,0,4,0
vixra.org,0,0,4,0
eprints.internano.org,0,0,3,0
repec.org,0,0,3,0
aei.pitt.edu,0,0,2,0
pos.sissa.it,0,0,2,10
repositorio.ana.gob.pe,0,0,2,0
synapse.koreamed.org,0,0,2,0
telearn.archives-ouvertes.fr,0,0,2,0
bibliotecadigital.fgv.br,0,0,1,0
crossasia-repository.ub.uni-heidelberg.de,0,0,1,0
economics-ejournal.org,0,0,1,22
inspirehep.net,0,0,1,310
ling.auf.net,0,0,1,0
scholarship.law.cornell.edu,0,0,1,0
uni-goettingen.de,0,0,1,12
hdl.handle.net,0,0,0,35427
bib-pubdb1.desy.de,0,0,0,31241
curis.ku.dk,0,0,0,9831
mediatum.ub.tum.de,0,0,0,9000
publikationen.bibliothek.kit.edu,0,0,0,7844
pure-oai.bham.ac.uk,0,0,0,7370
pure.ed.ac.uk,0,0,0,7102
dipot.ulb.ac.be,0,0,0,5502
repositorio.unesp.br,0,0,0,5024
pure.rug.nl,0,0,0,3261
orca.cf.ac.uk,0,0,0,2808
ui.adsabs.harvard.edu,0,0,0,2303
repositorio.unicamp.br,0,0,0,2299
openresearch-repository.anu.edu.au,0,0,0,2072
doi.org,0,0,0,2051
cesifo-group.de,0,0,0,1861
portal.research.lu.se,0,0,0,1748
publishup.uni-potsdam.de,0,0,0,1584
leicester.figshare.com,0,0,0,1450
harvest.aps.org,0,0,0,1171
hzg.de,0,0,0,1155
ub-madoc.bib.uni-mannheim.de,0,0,0,630
ssoar.info,0,0,0,598
pure.aber.ac.uk,0,0,0,489
bioone.org,0,0,0,344
jcs.biologists.org,0,0,0,339
ard.bmj.com,0,0,0,324
research.vumc.nl,0,0,0,316
irep.iium.edu.my,0,0,0,304
documentserver.uhasselt.be,0,0,0,298
dev.biologists.org,0,0,0,247
publications.tno.nl,0,0,0,232
jeb.biologists.org,0,0,0,226
jvi.asm.org,0,0,0,220
repository.nwu.ac.za,0,0,0,198
academic.oup.com,0,0,0,191
jopss.jaea.go.jp,0,0,0,182
ir.cwi.nl,0,0,0,173
sfb649.wiwi.hu-berlin.de,0,0,0,169
pure.leuphana.de,0,0,0,167
urlib.net,0,0,0,167
repositorium.ub.uni-osnabrueck.de,0,0,0,158
aeaweb.org,0,0,0,148
roar.uel.ac.uk,0,0,0,140
open.library.ubc.ca,0,0,0,134
smhi.diva-portal.org,0,0,0,134
coll.mpg.de,0,0,0,133
library2.smu.ca,0,0,0,129
.wiwi.uni-jena.de,0,0,0,127
publications.iass-potsdam.de,0,0,0,122
repec.rwi-essen.de,0,0,0,121
zookeys.pensoft.net,0,0,0,119
mural.maynoothuniversity.ie,0,0,0,117
ir.igsnrr.ac.cn,0,0,0,114
mis.mpg.de,0,0,0,109
publications.mpi-cbg.de,0,0,0,108
diskussionspapiere.wiwi.uni-hannover.de,0,0,0,107
bioinformatics.oxfordjournals.org,0,0,0,106
cdm21054.contentdm.oclc.org,0,0,0,106
jb.asm.org,0,0,0,106
uni-konstanz.de,0,0,0,106
erj.ersjournals.com,0,0,0,104
hal-riip.archives-ouvertes.fr,0,0,0,104
nber.org,0,0,0,103
cercor.oxfordjournals.org,0,0,0,101
locus.ufv.br,0,0,0,100
mcgill.ca,0,0,0,100
beilstein-journals.org,0,0,0,97
aac.asm.org,0,0,0,92
puma.isti.cnr.it,0,0,0,91
jcm.asm.org,0,0,0,90
myresearchspace.uws.ac.uk,0,0,0,90
plosgenetics.org,0,0,0,90
psyarxiv.com,0,0,0,90
dergipark.org.tr,0,0,0,87
.vwl.wiso.uni-goettingen.de,0,0,0,86
bio.biologists.org,0,0,0,86
haematologica.org,0,0,0,84
researchopen.lsbu.ac.uk,0,0,0,82
bmj.com,0,0,0,80
epj-conferences.org,0,0,0,74
bioinf.uni-leipzig.de,0,0,0,73
doku.iab.de,0,0,0,72
aisel.aisnet.org,0,0,0,69
nibio.brage.unit.no,0,0,0,69
hal-ineris.archives-ouvertes.fr,0,0,0,68
bloodjournal.org,0,0,0,67
heart.bmj.com,0,0,0,67
jmg.bmj.com,0,0,0,64
nottingham.ac.uk,0,0,0,63
slac.stanford.edu,0,0,0,62
feem.it,0,0,0,59
ai.cs.uni-dortmund.de,0,0,0,58
hal-iogs.archives-ouvertes.fr,0,0,0,58
westminsterresearch.wmin.ac.uk,0,0,0,58
nrm.diva-portal.org,0,0,0,57
dfg-spp1324.de,0,0,0,56
doaj.org,0,0,0,55
mcb.asm.org,0,0,0,55
repository.londonmet.ac.uk,0,0,0,54
stroke.ahajournals.org,0,0,0,54
iwh-halle.de,0,0,0,53
journal.frontiersin.org,0,0,0,52
pdfs.journals.lww.com,0,0,0,52
ainfo.cnptia.embrapa.br,0,0,0,51
hal-lirmm.ccsd.cnrs.fr,0,0,0,51
ux-tauri.unisg.ch,0,0,0,51
rucforsk.ruc.dk,0,0,0,50
download.uni-mainz.de,0,0,0,49
econ.uzh.ch,0,0,0,49
tu-chemnitz.de,0,0,0,49
.uibk.ac.at,0,0,0,48
economicdynamics.org,0,0,0,48
math.uni-sb.de,0,0,0,47
pik-potsdam.de,0,0,0,47
rgu-repository.worktribe.com,0,0,0,47
swsc-journal.org,0,0,0,47
.warwick.ac.uk,0,0,0,46
agu.org,0,0,0,46
dspace.imech.ac.cn,0,0,0,46
groups.uni-paderborn.de,0,0,0,46
ir.unimas.my,0,0,0,46
opus.uni-hohenheim.de,0,0,0,46
thelancet.com,0,0,0,46
twi-kreuzlingen.ch,0,0,0,46
uni-trier.de,0,0,0,46
wias-berlin.de,0,0,0,46
esaim-cocv.org,0,0,0,45
science.sciencemag.org,0,0,0,45
cdsads.u-strasbg.fr,0,0,0,44
jneurosci.org,0,0,0,44
dnb.nl,0,0,0,43
esaim-m2an.org,0,0,0,43
jid.oxfordjournals.org,0,0,0,42
